start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
114960,104.8907015,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
114960,104.8907015,455,0.4151467395833284,53,F3.416666666666667,96,2,0
115440,105.3286585,227,0.20711716458334029,51,D3.25#,96,2,0
115680,105.547637,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
116880,106.6425295,467,0.4260956645833403,39,D2.25#,115,2,0
117360,107.0804865,227,0.20711716458334029,42,F2.5#,96,2,0
117600,107.299465,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
117840,107.5184435,227,0.20711716458334029,54,F3.5#,96,2,0
118080,107.737422,683,0.6231763145833313,51,D3.25#,96,2,0
118800,108.3943575,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
118800,108.3943575,455,0.4151467395833284,53,F3.416666666666667,96,2,0
119280,108.8323145,227,0.20711716458334029,51,D3.25#,96,2,0
119520,109.051293,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
120000,109.48925,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
120720,110.1461855,467,0.4260956645833403,39,D2.25#,115,2,0
121200,110.5841425,227,0.20711716458334029,42,F2.5#,96,2,0
121440,110.803121,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
121680,111.0220995,227,0.20711716458334029,54,F3.5#,96,2,0
121920,111.241078,683,0.6231763145833313,51,D3.25#,96,2,0
122640,111.8980135,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
122640,111.8980135,455,0.4151467395833284,53,F3.416666666666667,96,2,0
123120,112.3359705,227,0.20711716458334029,51,D3.25#,96,2,0
123360,112.554949,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
124560,113.6498415,467,0.4260956645833403,39,D2.25#,115,2,0
125040,114.0877985,227,0.20711716458334029,42,F2.5#,96,2,0
125280,114.306777,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
125520,114.5257555,227,0.20711716458334029,54,F3.5#,96,2,0
125760,114.744734,683,0.6231763145833313,51,D3.25#,96,2,0
126480,115.4016695,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
126480,115.4016695,455,0.4151467395833284,53,F3.416666666666667,96,2,0
126960,115.8396265,227,0.20711716458334029,51,D3.25#,96,2,0
127200,116.058605,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
127680,116.496562,683,0.6231763145833313,49,C3.083333333333333#,96,2,0
128400,117.1534975,467,0.4260956645833403,39,D2.25#,115,2,0
128880,117.5914545,227,0.20711716458334029,42,F2.5#,96,2,0
129120,117.810433,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
129360,118.0294115,227,0.20711716458334029,54,F3.5#,96,2,0
129600,118.24839,683,0.6231763145833313,51,D3.25#,96,2,0
130320,118.9053255,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
130320,118.9053255,455,0.4151467395833284,53,F3.416666666666667,96,2,0
130800,119.3432825,227,0.20711716458334029,51,D3.25#,96,2,0
131040,119.562261,1367,1.2472650395833402,49,C3.083333333333333#,96,2,0
132720,121.0951105,119,0.1085768395833373,39,D2.25#,96,2,0
132720,121.0951105,119,0.1085768395833373,51,D3.25#,96,2,0
132960,121.314089,239,0.2180660895833373,39,D2.25#,96,2,0
132960,121.314089,239,0.2180660895833373,51,D3.25#,96,2,0
133440,121.752046,239,0.2180660895833373,39,D2.25#,96,2,0
133440,121.752046,239,0.2180660895833373,51,D3.25#,96,2,0
